title,rating,body,cleaned_text,cleaned_text
Review Title 1,1/5,This is review 1. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 2,2/5,This is review 2. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 3,3/5,This is review 3. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 4,4/5,This is review 4. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 5,0/5,This is review 5. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 6,1/5,This is review 6. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 7,2/5,This is review 7. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 8,3/5,This is review 8. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 9,4/5,This is review 9. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 10,0/5,This is review 10. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 11,1/5,This is review 11. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 12,2/5,This is review 12. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 13,3/5,This is review 13. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 14,4/5,This is review 14. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 15,0/5,This is review 15. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 16,1/5,This is review 16. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 17,2/5,This is review 17. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 18,3/5,This is review 18. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 19,4/5,This is review 19. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 20,0/5,This is review 20. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 21,1/5,This is review 21. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 22,2/5,This is review 22. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 23,3/5,This is review 23. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 24,4/5,This is review 24. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 25,0/5,This is review 25. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 26,1/5,This is review 26. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 27,2/5,This is review 27. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 28,3/5,This is review 28. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 29,4/5,This is review 29. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 30,0/5,This is review 30. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 31,1/5,This is review 31. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 32,2/5,This is review 32. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 33,3/5,This is review 33. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 34,4/5,This is review 34. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 35,0/5,This is review 35. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
Review Title 36,1/5,This is review 36. It is a sample review for testing purposes.,review sample review testing purpose,review sample review testing purpose
